Submitted by CCM,VID,Vessel Name,Flag,Registration Number,WIN,Previous Names,Reg Port,Owner Name,Owner Address,Master Name,Master Nationality,Previous Flags,IRCS,Communication Details,Built in Country,Built in Year,Vessel Type,Crew,Fishing Methods,Length,Length Type,Length Units,Moulded Depth,Moulded Depth Units,Beam,Beam Units,Tonnage,Tonnage Type,Engine Power,Power Units,Freezer Types,Freezing Capacity,Freezing Capacity Units,Number of Freezers,FishHold Capacity,FishHold Cap Units,Auth Type,Auth Number,Auth Area,Auth Species,Auth Period From,Auth Period To,Purse seine vessel authorised to tranship at sea,IMO-LR,Authorisation to tranship on the high seas,Under Charter,Charterer Name,Chartering CCM,Address of Charter,Charter Start Date,Charter End Date
China,9082,ZHONG RONG 5,China,(LU)CHUANDENG(JI)(2012)FT-100054,BBEU1,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG,SHANDONG ",KIM DONGMIN,China,NA,BBEU1,"Numbers: FELCOM
Inmarsat C: 441300077",China,2007,Tuna longliner,12,,31.93,Registered,Meters,2.9,Meters,6.3,Meters,157,GT,330,KW,,,,,158,CuM,LONGLINE,NO. GH-0355ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,Western and central pacific ocean,Albcore,01-Apr-19,31-Mar-99,Not specified,8649096,YES,NO,,,,,
China,9053,ZHONG RONG 6,China,(LU)CHUANDENG(JI)(2017)FT-100031,BBIR8,NA,Shidao," RONGCHENG OCEAN FISHERY CO., LTD","RONGCHENG,SHANDONG",sun yi ,China,NA,BBIR8,Inmarsat C: 441300078,China,2007,Tuna longliner,12,,31.93,Registered,Meters,2.9,Meters,6.3,Meters,157,GT,330,KW,,,,,158,CuM,LONGLINE,NO. GH-0356ï¼ˆ2019ï¼‰Guoyuï¼ˆgongï¼‰,Western and central pacific ocean,Albcore,01-Apr-19,31-Mar-99,Not specified,8649101,YES,NO,,,,,
China,11649,LU RONG YUAN YU 558,China,(LU)CHUANDENG(JI)ï¼ˆ2017ï¼‰FT-200234,BZTJ2,NONE,Shidao," Shandong shawodao ocean fishery co., ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,YU JING PING,China,NONE,BZTJ2,Triton: 515359,China,2017,Longliner,20,Longlines (not specified),41,Registered,Meters,7.6,Meters,3.8,Meters,432,GT,750,KW,blast,6,MT/day,7,130,MT,Longliner,No.GH-0447(2018)Guoyu(gong),Pacifc Ocean,South Albacore,17-Jul-18,31-Mar-21,Not specified,8797910,YES,NO,,,,,
China,11650,LU RONG YUAN YU 559,China,(LU)CHUANDENG(JI)ï¼ˆ2017ï¼‰FT-200235,BZTJ3,NONE,Shidao," Shandong shawodao ocean fishery co., ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,ZHENG HONGJUN,China,NONE,BZTJ3,Triton: 515361,China,2017,Tuna longliner,20,Longlines (not specified),41,Registered,Meters,7.6,Meters,3.8,Meters,432,GT,750,KW,blast,6,MT/day,7,130,MT,Longliner,NO.GH-0448ï¼ˆ2018ï¼‰Guoyuï¼ˆgongï¼‰,Pacifc Ocean,South Albacore,17-Jul-18,31-Mar-21,Not specified,8797922,YES,NO,,,,,
China,11652,LU RONG YUAN YU 659,China,ï¼ˆLU)CHUANDENG(JI) (2017)FT-200237,BZTJ5,NONE,Shidao," Shandong shawodao ocean fishery co., ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,CHEN GUOHAI,China,NONE,BZTJ5,Triton: 515097,China,2017,Tuna longliner,20,Longlines (not specified),41,Registered,Meters,7.6,Meters,3.8,Meters,432,GT,750,KW,Blast,6,MT/day,7,130,MT,Longliner,NO.CH-0450ï¼ˆ2018ï¼‰Guoyuï¼ˆgongï¼‰,Pacifc Ocean,South Albacore,17-Jul-18,31-Mar-21,Not specified,8797946,YES,NO,,,,,
China,11651,LU RONG YUAN YU 658,China,ï¼ˆLU)CHUANDENG(JI) (2017)FT-200236,BZTJ4,NONE,Shidao," Shandong shawodao ocean fishery co.,ltd",Shawodao Renhe County Rongcheng Shandong City CHINA,CHEN GUOHAI,China,NONE,BZTJ4,Triton : 515304,China,2017,Tuna longliner,20,Longlines (not specified),41,Registered,Meters,7.6,Meters,3.8,Meters,432,GT,750,KW,blast,6,MT/day,7,130,MT,Longliner,NO.GH-0449ï¼ˆ2018ï¼‰Guoyuï¼ˆgongï¼‰,Pacifc Ocean,South Albacore,17-Jul-18,31-Mar-21,Not specified,8797934,YES,NO,,,,,
Chinese Taipei,3478,SHENG YI HSING NO.16,Chinese Taipei,CT4-2201,BJ4201,SHENG YIH SHING NO.16,Kaohsiung," TSAY, WEN TERNG","No.32-3, Fusing Rd., Liouciou Township, Pingtung County 929, Taiwan (R.O.C.)","TSAI, WUEN-TENG",Chinese Taipei,NONE,BJ4201,"Inmarsat C(492049358)
Satelite Phone: 002881631550163
",Chinese Taipei,1992,Tuna longliner,10,Longlines (not specified),22.5,Overall,Meters,1.73,Meters,4.1,Meters,55.59,GT,600,HP,Other(Frozen),20,CuM,1,0,CuM,YUAN YAN 105- ,577,Pacific Ocean,Tuna and Tuna-like,21-Dec-16,20-Dec-21,NOT APPLICABLE,8555128,YES,NO,,,,,
Japan,458,YUJIN MARU NO.38,Japan,KO2-7083,JP-KO2-7083,HASSYU MARU NO.38,Susaki," UMADUME SHIPYARD Co., Ltd.","1978, AZA-MUKAIYAMA,SUSAKI, SUSAKI-SHI, KOCHI, JAPAN.","Shimizu,Chikara",Japan,JAPAN,NONE,Inmarsat mini C: 443200467,Japan,2001,Tuna longliner,10,Drifting longlines,17.8,Registered,Meters,2.02,Meters,4.4,Meters,19,GRT,190,PS,Brine,,,,38,CuM,"Ministry of Agriculture, Forestry and Fisheries",S4031,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8344323,YES,NO,,,,,
Chinese Taipei,11323,SHENG HORNG MAAN,Chinese Taipei,CT3-5634,BK7634,NONE,Keelung," WU, WEN-JIN  ","No.15, Ln. 59, Zaochuan Rd., Suâ€™ao Township, Yilan County 270, Taiwan (R.O.C.)","WU, WUEN-JIAN",Chinese Taipei,NONE,BK7634,NONE,Chinese Taipei,1989,Tuna longliner,10,Longlines (not specified),18.23,Overall,Meters,1.2,Meters,3.64,Meters,24.34,GT,420,HP,Ice,0,HP,0,0,CuM,NONG TE YU YAN 109-,3345,Pacific Ocean ,Tuna and Tuna-like ,03-Jan-20,02-Jan-25,NOT APPLICABLE,,NO,NO,,,,,
Japan,11598,NO.103 TETSUMARU,Japan,NS2-10482,JP-NS2-10482,NONE,Nagasaki, YUGENGAISHA  KASHIWAGISUISAN      ,"1613-34  AZEKARIMACHI NAGASAKI -SI  NAGASAKI -KEN 						","SATORU,MICHIWAKI      ",Japan,NONE,NONE,NONE,Japan,1991,FISH CARRIER,,With purse lines (purse seine),17.93,Registered,Meters,1.8,Meters,4.12,Meters,19,GRT,190,,,,,,52,CuM,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1908,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8345949,NO,NO,,,,,
Japan,11602,NO.202 TETSUMARU,Japan,NS2-10534,JP-NS2-10534,NONE,Nagasaki, YUGENGAISHA  KASHIWAGISUISAN      ,"1613-34  AZEKARIMACHI NAGASAKI -SI  NAGASAKI -KEN 						","MORITAKA,KITAGOU      ",Japan,NONE,NONE,NONE,Japan,1989,Support Vessel,,With purse lines (purse seine),14.98,Registered,Meters,1.59,Meters,3.8,Meters,16,GRT,180,,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1908,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8345975,NO,NO,,,,,
Japan,11600,NO.303 TETSUMARU,Japan,NS2-10667,JP-NS2-10667,NONE,Nagasaki, YUGENGAISHA  KASHIWAGISUISAN      ,1613-34  AZEKARIMACHI NAGASAKI -SI  NAGASAKI -KEN,"MANABU,MICHIWAKI      ",Japan,NONE,NONE,NONE,Japan,1999,Support Vessel,,With purse lines (purse seine),19.74,Registered,Meters,1.98,Meters,4.22,Meters,19,GRT,180,,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1908,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8345951,NO,NO,,,,,
Japan,11597,NO.8 TETSUMARU,Japan,NS2-10547,JP-NS2-10547,NONE,Nagasaki, YUGENGAISHA  KASHIWAGISUISAN      ,"1613-34  AZEKARIMACHI NAGASAKI -SI  NAGASAKI -KEN 						","KEISHI,MIZUMOTO      ",Japan,NONE,NONE,NONE,Japan,1994,FISH CARRIER,,With purse lines (purse seine),19.3,Registered,Meters,1.83,Meters,4.62,Meters,19,GRT,190,,,,,,64,CuM,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1908,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8345937,NO,NO,,,,,
Japan,11601,NO.81 TETUMARU,Japan,NS2-10603,JP-NS2-10603,NONE,Nagasaki, YUGENGAISHA  KASHIWAGISUISAN      ,"1613-34  AZEKARIMACHI NAGASAKI -SI  NAGASAKI -KEN 						","TAKANORI,NISHIMURA      ",Japan,NONE,NONE,NONE,Japan,1996,Support Vessel,,With purse lines (purse seine),20.01,Registered,Meters,1.88,Meters,4.21,Meters,18,GRT,778,KW,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1908,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8345963,NO,NO,,,,,
Japan,11596,NO.88 TETSUMARU,Japan,NS2-10577,JM6395,NONE,Nagasaki, YUGENGAISHA  KASHIWAGISUISAN      ,"1613-34  AZEKARIMACHI NAGASAKI -SI  NAGASAKI -KEN 						","HIROKI,KASHIWAGI      ",Japan,NONE,JM6395,090-3022-3390,Japan,1995,Purse seiner,,With purse lines (purse seine),23.18,Registered,Meters,2.15,Meters,6.6,Meters,58,GRT,380,,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",P1908,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,2642230,NO,NO,,,,,
Fiji,9008,ZHONG DA 3,Fiji,544,3DOP,N/A,Suva," Zhong Da Co.,Ltd",Muaiwalu Complex P O Box 13356 Suva,Changcheng Zhao,China,N/A,3DOP,"Channels:  Felcom 16
Inmarsat C: 452007612",China,2006,Tuna longliner,15,Longlines (not specified),36,Overall,Meters,3.05,Meters,6.4,Meters,173,GRT,330,KW,RSW,60,CuM,2,67,MT,"Authorisation to fish beyond Fiji fisheries waters, Licence to fish within Fiji fisheries waters","FJHSFA0023, FJ/LIC-FFW-0201/18","High Seas, Fiji EEZ",Tuna ,02-Feb-18,01-Feb-21,NOT APPLICABLE,8748969,NO,NO,,,,,
Fiji,10027,ZHONG DA 6,Fiji,982,3DNT,N/A,Suva," Zhong Da Co.,Ltd","Shed #13 Muaiwalu Complex, Walubay, Suva, Fiji Is",Wang Weijun,China,N/A,3DNT,GWD013-025-121207,China,2011,Longliner,11,Longlines (not specified),39.6,Overall,Meters,3,Meters,6,Meters,264,GRT,480,KW,Blast,120,CuM,5,140,MT,Authorisation to fish beyond Fiji fisheries waters,FJHSFA0084,High Seas,Tuna,02-Feb-18,01-Feb-21,NOT APPLICABLE,9639098,NO,NO,,,,,
Korea (Republic of),5434,NO.517 NAMGUNG,Korea (Republic of),9512393-6260006,6LHL,NO.27 IN SUNG,Busan,"3T OCEAN CO.,LTD",#90 WONYANG-RO SEO-KU BUSAN KOREA,"LEE, HEE SU",Korea (Republic of),KOREA,6LHL,VOICE INMAR SAT / 870-773-200-499,Korea (Republic of),1989,Tuna longliner,25,Drifting longlines,49.91,Registered,Meters,3.84,Meters,8.8,Meters,414,GT,1200,HP,BRINE,85.38,mt/day,4,586,CuM,Distant water fishing license,Sep-16,No specific areas,Tuna and Tuna-like species,02-Aug-16,01-Aug-21,Not applicable,8827741,Yes,NO,,,,,
Korea (Republic of),5433,NO.518 NAM GUNG,Korea (Republic of),9512375-6260008,DTUV,NO. 88 IN SUNG,Busan,"3T OCEAN CO.,LTD",#90 WONYANG-RO SEO-KU BUSAN KOREA,"KIM, TAEYONG",Korea (Republic of),NONE,DTUV,VOICE INMAR SAT / 870-773-302-697,Korea (Republic of),1988,Tuna longliner,25,Drifting longlines,49.91,Registered,Meters,3.84,Meters,8.8,Meters,410,GT,1200,HP,BRINE,97.44,mt/day,4,541,CuM,Distant water fishing license,Oct-16,No specific areas,Tuna and Tuna-like species,02-Aug-16,01-Aug-21,Not applicable,8714102,Yes,NO,,,,,
Korea (Republic of),2127,NO. 509 NAMGUNG,Korea (Republic of),9510068-6260004,HLWP,NO. 806 DONGWON,Busan,"3TOCEAN CO.,LTD",#90 WONYANG-RO SEO-KU BUSAN KOREA,KIM SEUG JU,Korea (Republic of),KR,HLWP,Voice Inmarsat: 870773151445,Korea (Republic of),1987,Tuna longliner,25,Drifting longlines,49.91,Overall,Meters,3.84,Meters,8.8,Meters,408,gt,1200,HP,Brine,8.53,8.53/DAY,4,648,CuM,Distant water fishing license,2019-26,no specific areas,no specific species,15-Dec-19,14-Dec-24,Not applicable,8619261,yes,NO,,,,,
United States of America,4503,GOLDEN DRAGON,United States of America,1120346,WDG6930,TAN VINH IV;CHRISTOPHER BOY;SEA PEARL 389;QUEEN ALINA 2;GOLDEN DRAGON,Honolulu,"A & M FISHING COMPANY, INC.","1210 DILLINGHAM BLVD. #15, HONOLULU, HI 96817, USA","LU, BINH",United States of America,NONE KNOWN,WDG6930,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881632516371,United States of America,2001,Tuna longliner,6,Drifting longlines,88.4,REGISTERED,Feet,12.5,Feet,26,Feet,177,GRT,670,HP,Ice,2,tons/day,1,27,MT,High seas fishing permit with a WCPFC area endorsement,P0000000030995,High Seas in the WCPF Convention Area,Highly Migratory Species,10-Apr-18,10-Apr-23,Not Applicable,8969599,YES,NO,,,,,
United States of America,3953,DANIELA,United States of America,531005,WDJ4303,DIANA LYNN;DANIELA Z;DANIELA,Seattle,AACH HOLDING CO LLC,"7850 NW SOUTH RIVER DR, MEDLEY, FL 33166-2514, USA","DAVIES, MORGAN",United States of America,NONE KNOWN,WDJ4303,NONE,United States of America,1971,Tuna purse seiner,26,With purse lines (purse seine),196.1,REGISTERED,Feet,17.6,Feet,42,Feet,"1,231.00",GRT,3600,HP,Brine,30,tons,5,1179,MT,High seas fishing permit with a WCPFC area endorsement,P0000000027033,High Seas in the WCPF Convention Area,Highly Migratory Species,01-Feb-17,01-Feb-22,No,7107716,No,NO,,,,,
Australia,11657,D&D,Australia,FB44241Q,FB44241Q,NONE KNOWN,Narooma,ABBOTT FISHERIES,"8 TOWER LANE, NAROOMA, NSW 2546, Australia","Abbott, Todd AND Abbott, Ryan",Australia,NONE,VNZ2542,Inmarsat C: 450381563,Australia,2017,Longliner,7,Drifting longlines,23.76,Overall,Meters,3.2,Meters,10,Meters,220,GT,484,KW,,,,4,60,CuM,Eastern Tuna and Billfish Fishery,NONE,No specific areas,All HMS except black and blue marlin,07-Feb-18,31-Dec-20,NOT APPLICABLE,8528462,NO,NO,,,,,
Indonesia,11059,NUSANTARA JAYA - 8,Indonesia,58 NO. 1869/PD,YEB5571,NONE,"Benoa, Bali",ABRIZAL ANDREW ANG,"LINGKUNGAN 2, AERTEMBAGA DUA RT 004/002 KEC. AERTEMBAGA, KOTA BITUNG, PROV. SULAWESI UTARA",HERRY ANGKOBUS,Indonesia,NONE,YEB5571,RADIO ICOM IC M-700 6.200 kHZ,Indonesia,2011,Pole and line,40,Handlines and pole-lines (hand operated),27.98,Overall,Meters,1.9,Meters,5.3,Meters,58,GT,400,HP,,NA,NA,NA,18,MT,FISHING PERMIT,26.15.0001.56.50111,MALUKU SEA AND SULAWESI SEA,NO SPECIFIC SPECIES,26-Nov-15,25-Nov-16,not applicable,,NO,NO,,,,,
Marshall Islands,9952,B. ACE,Marshall Islands,4149,V7VL4,N/A,Majuro,"Ace Marine Holdings Co., Ltd Â ","C/O 19th fl., SK NAMSAN Bldg, 267, Namdaemunno-5ga, Chung-gu, SEOUL, KOREA","Kim, Jin Sung",Korea (Republic of),n/a,V7VL4,INMARSAT 601-033-680,China,2011,BUNKER,22,,98.12,Overall,Meters,8.6,Meters,16.6,Meters,"3,978.00",GRT,3000,KW,Other - NA,0,NA,0,,,Registration Certificate - Permanent,452-11,WCPFC,NA,27-Jun-19,30-Jun-20,NOT APPLICABLE,9381641,NO,YES: CCM-Flagged,SK B&T,Marshall Islands,"19th fl., SK NAMSAN Bldg, 267, Namdaemunno-5ga, Chung-gu, SEOUL, KOREA","Friday, January 21, 2011","Friday, December 26, 2025"
Liberia,11453,ACONCAGUA BAY,Liberia,652-07-NYC,A8KY9,NONE,Monrovia,ACONCAGUA BAY SHIPPING COMPANY B.V. (Foreign Maritime Entity),"Leonard Springerlaan 17, Groningen 9727 KB, Netherlands",E.A. Zincheko,Russian Federation,PANAMA,A8KY9,Inmarsat C: 463715761,Japan,1992,FISH CARRIER,19,,140.44,Overall,Meters,12.8,Meters,20.6,Meters,"9,074.00",GT,7060,KW,Airblast,"14,508: 20 incl 20 ref C.",TEU,4,512361,CuF,Transshipment,23-FTL-19,IATTC; ICCAT; IOTC; NEAFC; SPRFMO; WCPFC,"Tuna-like species, mackerel, squid",15-Aug-19,15-Aug-20,NO,9019652,YES,NO,,,,,
Panama,11884,GREEN ATLATIC,Panama,49557-18,3ELB3,NONE KNOWN,Panama,ADARE CORPORATION,"SUITE 102, GROUND FLOOR, BLAKE BUILDING, CORNER EYRE & HUTSON STREETS, BELIZE CITY. BELIZE",ALEXANDR VOLODIN,Russian Federation,NONE KNOWN,3ELB3,INMARSAT: 435379910,United Kingdom,1985,FISH CARRIER,15,,87.15,Overall,Meters,8.1,Meters,15.9,Meters,"3,402.00",GRT,3000,KW,,,,,4679,CuM,SUPPORT FISHING VESSEL,02-98-986-166-646,WCPO,TUNA AND TUNA LIKE,05-Apr-19,05-Apr-20,Not specified,8320585,YES,NO,,,,,
United States of America,4074,ADELITA,United States of America,1102667,WDA6355,ADELITA,Pago Pago,ADELITA FISHING LLC,"4395 S CAMERON ST SUITE C, LAS VEGAS, NV 89103, USA","IRANK, WILLIS",United States of America,NONE KNOWN,WDA6355,SATELLITE TELEPHONE (OTHER THAN INMARSAT): 881631431501: OTHER: IRIDIUM,Australia,1994,Tuna longliner,7,Drifting longlines,89.5,REGISTERED,Feet,10.2,Feet,20,Feet,148,GRT,400,HP,Brine;Blast,20;20,tons;tons,1;1,77,MT,High seas fishing permit with a WCPFC area endorsement,1102667,High Seas in the WCPF Convention Area,Highly Migratory Species,15-Jul-18,15-Jul-23,Not Applicable,8976982,YES,NO,,,,,
Panama,11883,NOR CAPE,Panama,50744-PEXT,HOKJ,FRIO KYKNOS,Panama,ADMIRAL CORPORATION,"SUITE 102, GROUND FLOOR, BLAKE BUILDING, CORNER EYRE & HUTSON STREETS, BELIZE CITY. BELIZE",SERGEI ZALEVSKIY,Estonia,NONE KNOWN,HOKJ,INMARSAT: 435491512,Japan,1993,FISH CARRIER,18,,134.02,Overall,Meters,10.17,Meters,20.8,Meters,"7,316.00",GRT,7060,KW,,,,,11201,CuM,SUPPORT FISHING VESSEL,02-98-1374-193-825,WCPO,TUNA AND TUNA LIKE,04-Dec-18,04-Dec-20,Not specified,9073402,YES,NO,,,,,
Cook Islands,9565,JEANNINE,Cook Islands,2688,E5U3579,JEANNINE,Avatiu,Adriatic Sea Fisheries LTD,"1ST Floor, BCI House, Avarua, Rarotonga, Cook Islands",Gary Thomas Leganza,United States of America,KIRIBATI,E5U3579,Furuno Mobile number 452922310,United States of America,1974,Purse seiner,22,With purse lines (purse seine),61.2,Overall,Meters,8,Meters,12.8,Meters,"1,460.00",GRT,2684,KW,Brine,1100,Metric Tons,10,1100,MT,High Seas,CK19050-PS-EEZ   & CK19001-PS-HS,WCPO,Tuna and Tuna like species,06-Aug-19,31-Dec-20,NO,7415242,NO,NO,,,,,
Korea (Republic of),916,AGNES 82,Korea (Republic of),9512352 - 6260005,6LWJ,NO.82 DOOAN,Busan,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA","PARK, YEONG KI",Korea (Republic of),NONE,6LWJ,Voice inmarsat mobile : 761110638 : Inmarsat C,Korea (Republic of),1988,Tuna longliner,25,Drifting longlines,49.91,Registered,Meters,3.84,Meters,8.8,Meters,410,GT,1200,HP,BLAST,8,mt/day,4,521,MT,Distant water fishing license,2014-24,No specific areas,Tuna and tuna-like species,14-Dec-14,13-Dec-19,Not applicable,8714061,YES,NO,,,,,
Korea (Republic of),917,AGNES 83,Korea (Republic of),9512412 - 6260002,6LIW,NO.83 DOOAN,Busan,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA","CHOI, JEOMSIL",Korea (Republic of),NONE,6LIW,Voice inmarsat mobile : 773111680,Korea (Republic of),1990,Tuna longliner,25,Drifting longlines,49.91,Registered,Meters,3.84,Meters,8.8,Meters,417,GT,1200,HP,BLAST,8,mt/day,4,495,MT,Distant water fishing license,Dec-19,No specific areas,Tuna and tuna-like species,25-Jul-19,24-Jul-24,Not applicable,9012331,YES,NO,,,,,
Korea (Republic of),919,AGNES 90,Korea (Republic of),9504057 - 6210000,6LZM,NO.90 DOOAN,Busan,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA","CHOI, JEOM SIL",Korea (Republic of),NONE,6LZM,Voice inmarsat mobile : 762387335 : Inmarsat C,Korea (Republic of),1990,Tuna longliner,25,Drifting longlines,49.91,Registered,Meters,3.84,Meters,8.8,Meters,414,GT,1200,HP,BLAST,8,mt/day,4,540,MT,Distant water fishing license,Jan-16,No specific areas,Tuna and tuna-like species,28-Jan-16,27-Jan-21,Not applicable,9042025,YES,NO,,,,,
Korea (Republic of),920,AGNES 95,Korea (Republic of),9512297 - 6260003,6NGW,NO.95 DOOAN,Busan,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA","KIM, SANG JIN",Korea (Republic of),NONE,6NGW,Voice inmarsat mobile : 763087989 : Inmarsat C,Korea (Republic of),1985,Tuna longliner,25,Drifting longlines,44.75,Registered,Meters,3.65,Meters,8.6,Meters,353,GT,1200,HP,BLAST,8,mt/day,4,431,MT,Distant water fishing license,2016-16,No specific areas,Tuna and tuna-like species,14-Jan-17,13-Jan-22,Not applicable,8510582,YES,NO,,,,,
Japan,9759,AICHI MARU,Japan,AC1-52,7JBV,NONE,Gamagori,AICHI KEN,"3-1-2,SANN0MARU,NAKA-KU,NAGOYA-SHI,AICHI,JAPAN
",YUJI MIZUNO,Japan,NONE,7JBV,"Inmarsat C: 443258610
",Japan,2007,FISHERY RESEARCH VESSEL,50,,40.24,Registered,Meters,3.65,Meters,8.4,Meters,299,GRT,1620,KW,,,,,19,MT,"Ministry of Agriculture, Forestry and Fisheries",29K3032,No specific areas,No specific species,08-May-19,12-Dec-19,Not specified,9415545,,NO,,,,,
Japan,832,SHOUYOU MARU,Japan,WK2-2792,WK2-2792,NONE,Wakayama,"Akagi,Masaru","2099-2,SUSAMI,SUSAMI-CHO,NISHIMURO-GUN,WAKAYAMA-KEN,JAPAN","Akagi,Masaru",Japan,NONE,NONE,NONE,Japan,1977,Troller,14,Trolling lines,12.06,Registered,Meters,1.13,Meters,3.18,Meters,9.95,GRT,90,PS,ICE,,,,3,CuM,,,,,01-Jan-15,31-Jul-17,Not specified,,,NO,,,,,
European Union,5266,ALBACORA QUINCE,Spain,ESP000012216,EDUS,NA,Santa Eugenia,Albacora S.A,"Resinto Interior Zona Franca Edificio Melkart, 1 Oficina 1- 2/Cadiz/11011/Cadiz",Carmelo MÃ©ndez,Spain,NA,EDUS,"Channels: GMDSS A3 422472720 INMARSAT
Inmarsat C: 422472720",Spain,1983,Tuna purse seiner,28,,85.85,Overall,Meters,6.33,,13.6,Meters,"1,506.89",GRT,3370,KW,,,,,1200,MT,TUNA ANNUAL LICENSE,NÂº:546,,Tuna or tuna like species,01-Jan-06,31-Dec-20,Not specified,,,NO,,,,,
European Union,5267,ALBACORA UNO,Spain,ESP000023164,EAMB,NA,Santa Eugenia,Albacora S.A,"Recinto Interior Zona Franca Edificio Melkart, 1 Oficina 1- 2/Cadiz/11011/Cadiz",Joseba Madariaga,Spain,NA,EAMB,"Channels: GMDSS A3 422478210 INMARSAT
Inmarsat C: 422478210",Spain,1996,Tuna purse seiner,30,,105,Overall,Meters,6.84,,16.2,Meters,"2,468.23",GRT,4418,KW,,,,,2000,MT,TUNA ANNUAL LICENSE,NÂº: 547,,Tuna or tuna like species,01-Jan-06,31-Dec-15,Not specified,,,NO,,,,,
European Union,5268,ALBATUN DOS,Spain,ESP000025923,ECEM,NA,Ceuta,Albacora S.A,"Recinto Interior Zona Franca Edificio Melkart, 1 Oficina 1- 2/Cadiz/11011/Cadiz",Jose Luis Pino,Spain,NA,ECEM,Inmarsat C: 422408830,Spain,2003,Tuna purse seiner,29,,116,Overall,Meters,10.3,,16.6,Meters,"3,200.80",GRT,5736,KW,,,,,2200,MT,TUNA ANNUAL LICENSE,NÂº: 2592314001,,Tuna or tuna like species,01-Jan-06,31-Dec-20,Not specified,,,NO,,,,,
European Union,5269,ALBATUN TRES,Spain,ESP000026123,EADN,NA,Santa Eugenia,Albacora S.A,"Recinto Interior Zona Franca Edificio Melkart, 1 Oficina 1- 2/Cadiz/11011/Cadiz",JosÃ© MarÃ­a Goitiz,Spain,NA,EADN,"Channels: GMDSS A3 INMARSAT
Inmarsat C: 422468010",Spain,2004,Tuna purse seiner,30,,115,Overall,Meters,6.8,,16.6,Meters,"3,200.00",GRT,4927,KW,,,,,2200,MT,TUNA ANNUAL LICENSE,NÂº: 2612321292,,Tuna or tuna like species,01-Jan-17,31-Dec-17,Not specified,,,NO,,,,,
European Union,8853,ALBACAN,Spain,22090,EACO,NA,Cadiz,ALBACORA S.A.,EDIF EUROCENTRO CAPITAN HAYA 1 28020 MADRID,Esteban Zabaleta,,NA,EACO,Inmarsat C: 422446920,Spain,1991,Tuna purse seiner,29,,71.95,Overall,Meters,9.05,,13.62,Meters,"1,550.74",GRT,4023,HP,,,,,1881,MT,Annual License,220901237,,Tuna or tuna like species,01-Jan-08,31-Dec-20,Not specified,,,NO,,,,,
European Union,5259,MAR DE SERGIO,Spain,ESP000013829,EHNB,NA,Cadiz,ALBACORA S.A.,"Paseo De La Farola 1, 1/Malaga/29016/Madrid",Valentin Menchaca Zulueta,Spain,NA,EHNB,870773105874 / 870773100927,Spain,1984,Tuna purse seiner,,,84.2,Overall,Meters,,,15,Meters,"1,829.37",GRT,3086,KW,,,,,,,Licence,,,,01-Jan-08,31-Dec-20,Not specified,,,NO,,,,,
European Union,4616,SALICA FRIGO,Spain,01-Jul,EBTL,NA,Las Palmas,ALBACORA S.A. RECINTO ZONA FRANCA,"EDIFICIO MELKART 1Âº PLANTA, OFICINA 1 Y 2 
11011 CADIZ
",Javier Iribar Ugarte,Spain,NA,EBTL,Channels: 870773131857/ 870773131858,Spain,2001,FISH CARRIER,14,,120.49,Overall,Meters,10.28,,18.8,Meters,"7,207.00",GT,5850,KW,,,,,,,,,,,16-Sep-09,31-Dec-20,Not specified,,,NO,,,,,
